ZIP	latitude	longitude	STATE
02121	42.3062	-71.0856	MA
02122	42.2965	-71.0538	MA
02124	42.286	-71.0705	MA
02125	42.3164	-71.0569	MA
02126	42.2748	-71.0943	MA
02127	42.3357	-71.042	MA
02128	42.3732	-71.0145	MA
02134	42.3563	-71.1288	MA
02135	42.3485	-71.1547	MA
02136	42.2544	-71.1282	MA
02138	42.3801	-71.1347	MA
02140	42.3935	-71.1338	MA
02142	42.3628	-71.0816	MA
02144	42.4004	-71.1217	MA
02148	42.4306	-71.0573	MA
02149	42.407	-71.0535	MA
02151	42.4187	-71.0044	MA
02153	42.4038	-71.1197	MA
02163	42.3676	-71.1277	MA
02170	42.2666	-71.0162	MA
02186	42.2391	-71.0839	MA
02188	42.2065	-70.9576	MA
02189	42.2112	-70.9315	MA
02190	42.1661	-70.9524	MA
02191	42.2436	-70.9433	MA
02199	42.3475	-71.0821	MA
02210	42.347	-71.0413	MA
02301	42.077	-71.0419	MA
02302	42.0879	-70.9985	MA
02322	42.1268	-71.0496	MA
02324	41.9721	-70.9722	MA
02325	41.9878	-70.9598	MA
02330	41.8766	-70.7616	MA
02332	42.0459	-70.7132	MA
02333	42.035	-70.9426	MA
02338	41.9915	-70.8632	MA
02343	42.1473	-71.0048	MA
02346	41.8798	-70.8737	MA
02347	41.8318	-70.9593	MA
02356	42.0554	-71.1225	MA
02357	42.0601	-71.0797	MA
02359	42.0654	-70.8014	MA
02360	41.8783	-70.6305	MA
02364	41.9862	-70.7485	MA
02367	41.9636	-70.8101	MA
02368	42.1771	-71.0535	MA
02370	42.1301	-70.9101	MA
02375	42.017	-71.1024	MA
02379	42.0203	-71.0271	MA
02382	42.0802	-70.9396	MA
02420	42.4564	-71.2165	MA
02421	42.4385	-71.2393	MA
02451	42.3984	-71.2568	MA
02453	42.3694	-71.2401	MA
02458	42.3525	-71.1879	MA
02459	42.3144	-71.1922	MA
02460	42.3516	-71.2084	MA
02461	42.3159	-71.2086	MA
02462	42.331	-71.256	MA
